gene_id	Length
FBgn0031736	999
FBgn0263236	2799
FBgn0003513	2933.45
FBgn0030298	1221
FBgn0010905	6340.34
FBgn0031609	1077
FBgn0038163	2184
FBgn0027592	2250
FBgn0036974	1317.04
FBgn0039487	1554
FBgn0027532	2910
FBgn0033903	912
FBgn0283658	1530.4
FBgn0061198	231
FBgn0028700	1071
FBgn0011726	447
FBgn0050438	1575
FBgn0028675	6672
FBgn0039938	1857
FBgn0284257	1425.19
FBgn0086361	1113.42
FBgn0032774	850.371
FBgn0264744	1038
FBgn0041180	4491.27
FBgn0052117	648
FBgn0083942	369
FBgn0034577	861
FBgn0011725	1704
FBgn0263114	402
FBgn0038136	2829
FBgn0033830	1209
FBgn0014861	2664
FBgn0286203	2305.04
FBgn0029722	1440
FBgn0261262	2927.19
FBgn0037911	1023
FBgn0032935	1416
FBgn0052177	804
FBgn0027329	1602
FBgn0027079	3150.09
FBgn0028991	2646.67
FBgn0036043	3539.77
FBgn0037475	756
FBgn0030832	603
FBgn0000395	2256
FBgn0039260	2847
FBgn0031568	3480
FBgn0039004	3603
FBgn0265137	1253.35
FBgn0038147	411
FBgn0038311	1581
FBgn0051496	870
FBgn0034184	2143.08
FBgn0038440	1089
FBgn0053159	774
FBgn0032728	2766
FBgn0033988	1434
FBgn0031660	909
FBgn0037481	699
FBgn0038395	780.665
FBgn0029079	648
FBgn0261838	372
FBgn0020305	1038
FBgn0032150	972
FBgn0002973	1661.75
FBgn0035904	726
FBgn0037921	1128
FBgn0001189	1836
FBgn0015561	1458
FBgn0032047	1206
FBgn0033936	2604
FBgn0038405	1116
FBgn0027335	1814.47
FBgn0034539	441
FBgn0000277	192
FBgn0015583	705
FBgn0029966	1878
FBgn0000152	1941
FBgn0004867	804
FBgn0033663	1470
FBgn0001255	978
FBgn0038610	979.409
FBgn0262357	543
FBgn0259677	5454
FBgn0031309	900
FBgn0029114	4041
FBgn0263087	513
FBgn0037144	1719
FBgn0035956	1410
FBgn0035726	1527
FBgn0039198	789
FBgn0034887	1017
FBgn0053688	528
FBgn0004795	2705.14
FBgn0003086	519
FBgn0035548	508.5
FBgn0031664	1491
FBgn0036020	1152
FBgn0033782	1155
FBgn0032846	1419
FBgn0017457	795
FBgn0037374	594
FBgn0043799	1434
FBgn0263006	3041.27
FBgn0034713	927
FBgn0034964	6162
FBgn0033712	938.506
FBgn0042127	1197
FBgn0038504	2085
FBgn0033447	3405
FBgn0023540	1116
FBgn0037818	1206
FBgn0004198	6527.17
FBgn0034918	624
FBgn0259682	1105.98
